Product Name,Location,,Number of Cows,,,Daily (demand)Date,Quantity Sold (liters/kg),Customer Location,weekly demand data date,Product ID,,,Brand,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Quantity available  (liters/kg),,Total Value of available quantity ,,,,,,,Approx. Total Revenue(INR),,Sales Channel,,Price per Unit,Total Value of available quantity ,,,,,,Price per Unit (sold),
Cheese,Madhya Pradesh,,92,,,01-01-2019,304,West Bengal,7010,3,,,Passion Cheese,410,74.72,714.67,,63448.40,,,,,,,27220.16,,Wholesale,,88.78,63448.40,,,,,,89.54,8134.67
Lassi,Uttar Pradesh,,82,,tue,01-01-2019,429,Rajasthan,7010,7,,,Amul,534,73.75,963.16,,85730.87,,,,,,,39618.15,,Online,,89.01,85730.87,,,,,,92.35,
Ghee,Telangana,,95,,,01-01-2019,427,Kerala,7010,10,,,Mother Dairy,137,27.65,564.08,,44799.23,,,,,,,32968.67,,Retail,,79.42,44799.23,,,,,,77.21,
Paneer,Delhi,,58,,,01-01-2019,230,Chandigarh,7010,9,,,Mother Dairy,362,88.03,592.76,,38387.14,,,,,,,14598.1,,Wholesale,,64.76,38387.14,,,,,,63.47,
Ice Cream,Madhya Pradesh,,71,,,01-01-2019,116,Maharashtra,7010,5,,,Mother Dairy,239,65.49,355.4,,26900.23,,,,,,,8399.56,,Retail,,75.69,26900.23,,,,,,72.41,
Ice Cream,Kerala,,21,,,01-01-2019,309,Telangana,7010,5,,,Amul,95,56.64,404.93,,32102.85,,,,,,,24942.48,,Wholesale,,79.28,32102.85,,,,,,80.72,
Curd,Karnataka,,73,,,02-01-2019,107,Madhya Pradesh,6109,6,,,Raj,777,45.72,884.74,,79361.18,,,,,,,9269.41,,Retail,,89.7,79361.18,,,,,,86.63,
Buttermilk,Gujarat,,82,,,02-01-2019,64,Chandigarh,6109,8,,,Sudha,150,47.12,214.31,,16375.43,,,,,,,4760.96,,Online,,76.41,16375.43,,,,,,74.39,
Cheese,Uttar Pradesh,,79,,,02-01-2019,274,Uttar Pradesh,6109,3,,,Britannia Industries,101,20.16,375.57,,6809.08,,,,,,,4183.98,,Retail,,18.13,6809.08,,,,,,15.27,
Buttermilk,Chandigarh,,47,,,03-01-2019,342,Karnataka,7794,8,,,Raj,106,40.12,448.57,,40954.44,,,,,,,31823.1,,Wholesale,,91.3,40954.44,,,,,,93.05,
Butter,Uttar Pradesh,,82,,,03-01-2019,173,Tamil Nadu,7794,2,,,Parag Milk Foods,341,53.01,514.72,,29097.12,,,,,,,9824.67,,Online,,56.53,29097.12,,,,,,56.79,
Lassi,Chandigarh,,54,,,03-01-2019,51,Gujarat,7794,7,,,Raj,137,72.09,188.84,,16782.21,,,,,,,4585.41,,Wholesale,,88.87,16782.21,,,,,,89.91,
Paneer,Bihar,,11,,,04-01-2019,252,Jharkhand,7228,9,,,Mother Dairy,69,51.68,321.71,,18951.94,,,,,,,15621.48,,Online,,58.91,18951.94,,,,,,61.99,
Cheese,Uttar Pradesh,,37,,,04-01-2019,814,Gujarat,7228,3,,,Dynamix Dairies,80,24.48,894.96,,58190.30,,,,,,,52055.3,,Online,,65.02,58190.30,,,,,,63.95,
Ghee,Uttar Pradesh,,45,,,05-01-2019,366,Delhi,7812,10,,,Sudha,456,36.65,822.4,,18980.99,,,,,,,9808.8,,Online,,23.08,18980.99,,,,,,26.8,
Paneer,Chandigarh,,58,,,05-01-2019,18,Delhi,7812,9,,,Mother Dairy,166,58.9,184.4,,4420.07,,,,,,,489.24,,Online,,23.97,4420.07,,,,,,27.18,
